Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.49165E-3,44.269297611,0.439618285,0.13625,0.451612903,0
2.50947E-3,44.520244398,0.44137418,0.135,0.451612903,0
2.53181E-3,44.773425323,0.443560697,0.13375,0.451612903,0
2.53191E-3,45.026615853,0.443570062,0.1325,0.451612903,0
2.56169E-3,45.282784451,0.446458079,0.13125,0.451612903,0
2.57081E-3,45.539865246,0.447336705,0.13,0.451612903,0
2.61748E-3,45.801613575,0.451789165,0.12875,0.467741935,0
2.61748E-3,46.586858561,0.451789165,0.12375,0.467741935,0
2.62051E-3,46.848909122,0.452074999,0.12375,0.483870968,0
2.63113E-3,47.11202221,0.453077514,0.1225,0.483870968,0
2.6314E-3,47.375161845,0.453102515,0.12125,0.483870968,0
2.63272E-3,47.638433723,0.453227021,0.12,0.483870968,0
2.6615E-3,47.904583268,0.455922356,0.11875,0.483870968,0
2.6911E-3,48.284164659,0.458667485,0.11625,0.483870968,0
2.74679E-3,48.718692893,0.46375713,0.115,0.5,0
2.74966E-3,48.993658666,0.464017023,0.11375,0.5,0
2.75681E-3,49.269339702,0.464663194,0.1125,0.5,0
2.78827E-3,49.548166375,0.467486583,0.11125,0.5,0
2.79843E-3,49.828009843,0.468392855,0.11,0.5,0
2.80863E-3,50.011424445,0.46929825,0.10875,0.5,0
2.81917E-3,50.391334064,0.470231394,0.1075,0.516129032,0
2.84507E-3,50.675841076,0.472510275,0.10625,0.516129032,0
2.86948E-3,50.962789554,0.474640501,0.105,0.516129032,0
2.88094E-3,51.250883836,0.475634315,0.10375,0.516129032,0
2.95818E-3,51.54670141,0.482236271,0.1025,0.516129032,0
3.06967E-3,51.769446834,0.491479226,0.10125,0.532258065,0
3.12825E-3,52.160855141,0.496203729,0.1,0.548387097,0
3.13221E-3,52.484199407,0.496520112,0.09875,0.564516129,0
3.14063E-3,52.798262717,0.497191728,0.0975,0.564516129,0
3.14444E-3,53.112707101,0.497494879,0.09625,0.564516129,0
3.15509E-3,53.428216226,0.498339958,0.095,0.564516129,0
3.15642E-3,53.743858665,0.49844557,0.09375,0.564516129,0
3.15977E-3,54.059835749,0.498710478,0.0925,0.564516129,0
3.19532E-3,54.379367483,0.501507195,0.09125,0.564516129,0
3.24015E-3,54.559487226,0.504990118,0.09,0.564516129,0
3.29484E-3,55.036538967,0.509173951,0.08875,0.580645161,0
3.34773E-3,55.371311499,0.51315284,0.0875,0.580645161,0
3.34773E-3,55.706084031,0.51315284,0.08625,0.580645161,0
3.36133E-3,56.042216983,0.514165953,0.085,0.596774194,0
3.36133E-3,56.378349934,0.514165953,0.0825,0.596774194,0
3.36567E-3,56.561122124,0.514488126,0.0825,0.612903226,0
3.37912E-3,57.053194766,0.515484603,0.08125,0.629032258,0
3.41833E-3,57.395027735,0.518365342,0.08,0.629032258,0
3.45908E-3,57.740935493,0.521323147,0.07875,0.629032258,0
3.47532E-3,58.088467423,0.522491999,0.0775,0.629032258,0
3.48556E-3,58.784555783,0.523226358,0.075,0.629032258,0
3.5041E-3,59.134965299,0.524548926,0.07375,0.629032258,0
3.51027E-3,59.260754941,0.524988317,0.0725,0.629032258,0
3.59317E-3,59.846422125,0.530805564,0.07125,0.661290323,0
3.60499E-3,60.206921158,0.531623103,0.07,0.661290323,0
